iter	RMSE
0	23.48409592
1	22.54278343
2	21.64425889
3	20.7948267
4	19.9992975
5	19.24688225
6	18.54176916
7	17.86843305
8	17.23852417
9	16.65156964
10	16.09587905
11	15.57972514
12	15.09144298
13	14.63635072
14	14.20193914
15	13.79904619
16	13.42598961
17	13.07944464
18	12.75628256
19	12.45310881
20	12.16752483
21	11.90172465
22	11.66047398
23	11.43060357
24	11.22041418
25	11.0290766
26	10.85128779
27	10.68435198
28	10.52747857
29	10.38738451
30	10.25210082
31	10.13066555
32	10.01583808
33	9.910139531
34	9.8151798
35	9.730816936
36	9.649050709
37	9.577055705
38	9.510251364
39	9.446053634
40	9.388856341
41	9.337969404
42	9.290663031
43	9.245296196
44	9.205317817
45	9.169361064
46	9.135148594
47	9.102986487
48	9.076004063
49	9.049806181
50	9.026504894
51	9.005180371
52	8.984500074
53	8.966800998
54	8.949202906
55	8.932417994
56	8.917666208
57	8.905004051
58	8.892923529
59	8.882324583
60	8.871980916
61	8.862076633
62	8.852598496
63	8.844334181
64	8.837127401
65	8.829787233
66	8.823318773
67	8.817199905
68	8.811394824
69	8.806056086
70	8.801552574
71	8.796966411
72	8.792799091
73	8.78917626
74	8.785707918
75	8.782807835
76	8.779878407
77	8.776798935
78	8.774084543
79	8.770935568
80	8.768473989
81	8.765892281
82	8.76425815
83	8.7618151
84	8.759578692
85	8.757842559
86	8.755570109
87	8.753731695
88	8.75221676
89	8.750527183
90	8.748314818
91	8.74661069
92	8.744523683
93	8.742984734
94	8.741574479
95	8.740143786
96	8.738959137
97	8.736996924
98	8.734919683
99	8.732654413
100	8.731310923
101	8.730681329
102	8.729323287
103	8.727552264
104	8.725883877
105	8.723919732
106	8.722658623
107	8.720701574
108	8.719402811
109	8.717551869
110	8.716264358
111	8.714716985
112	8.713398983
113	8.71256401
114	8.710965977
115	8.710152784
116	8.70903441
117	8.70788094
118	8.70680078
119	8.705454099
120	8.704593968
121	8.703336068
122	8.702461932
123	8.701442541
124	8.699769452
125	8.698843756
126	8.697241905
127	8.696004868
128	8.694251765
129	8.692823533
130	8.691638654
131	8.690229577
132	8.689760169
133	8.688578814
134	8.687550305
135	8.685532
136	8.684563097
137	8.683048523
138	8.681608778
139	8.679869902
140	8.678661647
141	8.677191927
142	8.675007451
143	8.673861322
144	8.672849841
145	8.671063219
146	8.670470229
147	8.66876212
148	8.667587791
149	8.666045574
150	8.664560536
151	8.663167623
152	8.661887207
153	8.660929264
154	8.659921184
155	8.658760023
156	8.657411336
157	8.656276851
158	8.655053199
159	8.654211014
160	8.653046708
161	8.651837964
162	8.65055201
163	8.649164947
164	8.647724149
165	8.646610171
166	8.645151239
167	8.643549367
168	8.642580274
169	8.641444218
170	8.640198332
171	8.638390521
172	8.637102294
173	8.63584571
174	8.63502527
175	8.632944038
176	8.631820776
177	8.630257234
178	8.629147561
179	8.628469581
180	8.62697785
181	8.625055177
182	8.624103925
183	8.622716717
184	8.622043186
185	8.620950366
186	8.619971271
187	8.61829052
188	8.617101941
189	8.616116895
190	8.614307252
191	8.613495048
192	8.61252717
193	8.611235286
194	8.609824295
195	8.608720716
196	8.607219805
197	8.606479831
198	8.604786519
199	8.603747517
200	8.602261334
201	8.601268686
202	8.59972505
203	8.598636506
204	8.5974843
205	8.596258445
206	8.594722088
207	8.593721484
208	8.591919864
209	8.590456886
210	8.58879661
211	8.587444688
212	8.586400227
213	8.585357569
214	8.583591275
215	8.581798705
216	8.580587267
217	8.579090981
218	8.578360515
219	8.576925887
220	8.575507375
221	8.574055478
222	8.572482368
223	8.570271799
224	8.568983498
225	8.567704251
226	8.56657631
227	8.566067574
228	8.564509973
229	8.562640786
230	8.561080315
231	8.560380547
232	8.559610643
233	8.558411416
234	8.557525536
235	8.555405005
236	8.553329732
237	8.551860352
238	8.550648372
239	8.548885478
240	8.547569951
241	8.546561507
242	8.545018951
243	8.543927969
244	8.542784974
245	8.541298411
246	8.539862499
247	8.537920444
248	8.536451027
249	8.53516518
250	8.533963573
251	8.532627435
252	8.531398988
253	8.530284985
254	8.529060002
255	8.52762575
256	8.52562324
257	8.524050517
258	8.522506631
259	8.521546915
260	8.519086469
261	8.517269924
262	8.515593151
263	8.514642694
264	8.513541516
265	8.512195182
266	8.510789861
267	8.50902708
268	8.507882081
269	8.506606556
270	8.504651626
271	8.502945533
272	8.501403927
273	8.499412056
274	8.498151954
275	8.497073429
276	8.496179134
277	8.494752233
278	8.493633002
279	8.492872565
280	8.491922412
281	8.490133785
282	8.488326277
283	8.487241232
284	8.486192247
285	8.484332969
286	8.483487052
287	8.482461598
288	8.480810085
289	8.47917472
290	8.477214504
291	8.475660035
292	8.47465484
293	8.473436859
294	8.471703821
295	8.470652732
296	8.46885278
297	8.467930124
298	8.466065468
299	8.464503851
