iter	Passed	Remaining
0	8	2443
1	19	2944
2	26	2613
3	32	2390
4	38	2247
5	44	2158
6	50	2109
7	56	2051
8	62	2017
9	68	1995
10	74	1952
11	79	1915
12	85	1891
13	91	1865
14	96	1840
15	102	1821
16	108	1803
17	114	1787
18	120	1778
19	126	1764
20	131	1753
21	138	1743
22	143	1732
23	149	1723
24	155	1710
25	161	1698
26	167	1689
27	172	1679
28	178	1671
29	184	1663
30	190	1656
31	196	1645
32	202	1638
33	208	1628
34	214	1626
35	220	1616
36	225	1606
37	231	1597
38	237	1588
39	243	1580
40	249	1573
41	255	1567
42	261	1560
43	267	1555
44	272	1545
45	278	1539
46	285	1539
47	291	1531
48	299	1534
49	306	1532
50	311	1523
51	318	1516
52	323	1507
53	330	1503
54	336	1499
55	342	1494
56	349	1489
57	357	1493
58	366	1496
59	375	1502
60	381	1496
61	387	1488
62	394	1484
63	400	1475
64	405	1467
65	411	1459
66	417	1452
67	423	1444
68	429	1436
69	434	1427
70	440	1420
71	445	1411
72	451	1404
73	457	1396
74	462	1388
75	468	1381
76	474	1373
77	479	1366
78	485	1358
79	491	1351
80	497	1344
81	502	1336
82	508	1328
83	513	1320
84	519	1313
85	525	1307
86	531	1300
87	536	1293
88	542	1285
89	547	1278
90	553	1270
91	559	1264
92	564	1257
93	570	1250
94	576	1243
95	581	1236
96	587	1229
97	593	1222
98	599	1216
99	604	1209
100	610	1202
101	615	1195
102	621	1188
103	627	1181
104	632	1174
105	638	1168
106	644	1161
107	649	1155
108	655	1148
109	661	1142
110	666	1135
111	672	1129
112	678	1122
113	683	1115
114	689	1108
115	694	1102
116	700	1096
117	707	1090
118	712	1083
119	718	1077
120	723	1070
121	729	1064
122	735	1057
123	741	1051
124	746	1045
125	752	1038
126	757	1032
127	763	1026
128	769	1020
129	775	1013
130	780	1007
131	786	1000
132	791	994
133	797	988
134	803	981
135	808	975
136	814	968
137	820	962
138	826	956
139	832	951
140	838	945
141	844	939
142	850	933
143	856	927
144	862	921
145	867	915
146	872	908
147	878	902
148	884	896
149	890	890
150	896	884
151	902	878
152	908	872
153	913	866
154	919	860
155	925	853
156	930	847
157	936	841
158	942	836
159	948	829
160	954	823
161	959	817
162	965	811
163	970	805
164	976	799
165	981	792
166	987	786
167	993	780
168	999	774
169	1005	768
170	1010	762
171	1016	756
172	1022	750
173	1027	744
174	1033	738
175	1038	731
176	1045	726
177	1051	720
178	1056	714
179	1061	707
180	1067	701
181	1077	698
182	1083	692
183	1088	686
184	1094	680
185	1099	673
186	1104	667
187	1110	661
188	1116	655
189	1122	649
190	1127	643
191	1133	637
192	1138	631
193	1144	625
194	1149	619
195	1155	613
196	1161	607
197	1166	601
198	1172	594
199	1177	588
200	1183	582
201	1189	576
202	1194	570
203	1200	564
204	1205	558
205	1211	552
206	1217	546
207	1223	540
208	1228	534
209	1234	528
210	1239	522
211	1245	516
212	1250	510
213	1256	504
214	1261	498
215	1267	492
216	1272	486
217	1278	480
218	1283	474
219	1289	469
220	1295	463
221	1301	457
222	1306	451
223	1312	445
224	1317	439
225	1323	433
226	1329	427
227	1334	421
228	1339	415
229	1344	409
230	1350	403
231	1355	397
232	1361	391
233	1367	385
234	1372	379
235	1378	373
236	1384	367
237	1389	362
238	1395	356
239	1400	350
240	1406	344
241	1412	338
242	1418	332
243	1424	326
244	1429	320
245	1435	315
246	1440	309
247	1446	303
248	1452	297
249	1457	291
250	1463	285
251	1469	279
252	1475	274
253	1480	268
254	1486	262
255	1491	256
256	1497	250
257	1503	244
258	1508	238
259	1514	232
260	1520	227
261	1525	221
262	1531	215
263	1536	209
264	1542	203
265	1547	197
266	1553	192
267	1559	186
268	1565	180
269	1570	174
270	1576	168
271	1581	162
272	1587	156
273	1592	151
274	1598	145
275	1603	139
276	1609	133
277	1615	127
278	1620	122
279	1626	116
280	1632	110
281	1637	104
282	1643	98
283	1649	92
284	1654	87
285	1660	81
286	1666	75
287	1672	69
288	1678	63
289	1684	58
290	1690	52
291	1696	46
292	1701	40
293	1707	34
294	1713	29
295	1718	23
296	1724	17
297	1731	11
298	1736	5
299	1742	0
